абрикос;;0.90;;0.10;;9.00;;44.00;;44.00
абрикосы сушеные без косточки;;5.20;;0.00;;55.00;;234.00;;23.00
абрикосы сушеные с косточкой;;5.00;;0.00;;53.00;;227.00;;26.00
айва;;0.60;;0.50;;7.90;;40.00;;45.00
алыча;;0.20;;0.00;;6.40;;38.00;;24.00
ананас;;0.40;;0.20;;11.50;;47.00;;66.00
апельсин;;0.90;;0.20;;8.10;;40.00;;40.00
арахис;;26.30;;4.20;;9.90;;551.00;;0.00
арбуз;;0.70;;0.20;;8.80;;38.00;;72.00
баклажаны;;1.20;;0.10;;5.10;;24.00;;15.00
банан;;1.50;;0.10;;21.20;;89.00;;77.00
бананы сушеные;;3.90;;1.80;;80.50;;390.00;;65.00
баранина;;22.00;;17.20;;0.00;;243.00;;0.00
батат;;2.00;;0.00;;13.30;;61.00;;0.00
батон простой;;8.00;;0.90;;48.90;;235.00;;78.00
батончик с отрубями;;9.20;;2.80;;51.40;;273.00;;82.00
бекон;;15.30;;50.20;;0.00;;520.00;;0.00
белые грибы;;3.70;;1.70;;1.10;;23.00;;0.00
белые грибы сушеные;;20.10;;4.80;;7.60;;152.00;;0.00
блины;;5.10;;3.10;;34.30;;186.00;;66.00
блины с творогом и сметаной;;25.80;;33.10;;55.20;;640.00;;71.00
бобы;;6.00;;0.10;;8.50;;60.00;;25.00
бренди;;0.00;;0.00;;0.50;;225.00;;0.00
брокколи;;3.40;;0.00;;6.50;;30.00;;0.00
брынза из коровьего молока;;17.90;;20.10;;0.00;;260.00;;49.00
брынза из овечьего молока;;14.60;;25.50;;0.00;;298.00;;56.00
бублики;;9.00;;1.10;;58.00;;284.00;;85.00
ватрушка с творогом;;10.60;;12.30;;40.10;;318.00;;92.00
вафли с жиросодержащими начинками;;3.40;;30.20;;64.70;;539.00;;86.00
вафли с фруктовой начинкой;;3.20;;2.80;;80.10;;350.00;;86.00
вермут;;0.00;;0.00;;15.90;;158.00;;0.00
ветчина;;22.60;;20.90;;0.00;;279.00;;0.00
вино белое сладкое 12% алкоголя;;0.00;;0.00;;5.90;;98.00;;56.00
вино белое сухое 12% алкоголя;;0.00;;0.00;;0.20;;66.00;;50.00
вино красное 12% алкоголя;;0.00;;0.00;;2.30;;76.00;;0.00
виноград;;0.60;;0.20;;15.50;;65.00;;44.00
виноград сушеный;;1.80;;0.00;;66.00;;262.00;;38.00
виски;;0.00;;0.00;;0.00;;220.00;;0.00
вишня;;0.80;;0.50;;10.30;;52.00;;32.00
водка;;0.00;;0.00;;0.10;;235.00;;0.00
воздушная кукуруза;;13.00;;4.00;;72.00;;382.00;;119.00
галеты;;9.20;;10.20;;68.40;;415.00;;54.00
галеты;;9.20;;10.20;;68.40;;415.00;;75.00
говядина;;25.80;;16.80;;0.00;;254.00;;0.00
горбуша;;22.90;;7.80;;0.00;;168.00;;54.00
горох сушеный;;20.50;;2.00;;48.60;;298.00;;32.00
горошек зеленый;;5.00;;0.20;;12.80;;73.00;;60.00
гранат;;0.90;;0.00;;11.20;;52.00;;62.00
грейпфрут;;0.90;;0.20;;6.50;;35.00;;69.00
грудинка сырокопченая;;8.90;;63.30;;0.00;;605.00;;0.00
грузди;;1.80;;0.80;;0.50;;16.00;;0.00
груша;;0.40;;0.30;;9.50;;42.00;;57.00
гуляш;;12.30;;12.20;;3.90;;175.00;;0.00
гусь;;15.20;;39.00;;0.00;;411.80;;0.00
джин;;0.00;;0.00;;0.00;;220.00;;0.00
дыня;;0.60;;0.00;;9.10;;38.00;;69.00
желатин пищевой;;87.20;;0.40;;0.70;;355.00;;69.00
жир бараний топленый;;0.00;;99.70;;0.00;;897.00;;0.00
жир свиной ;;0.00;;99.70;;0.00;;897.00;;0.00
земляника;;0.80;;0.40;;6.30;;34.00;;65.00
