actimel вишня;;2.90;;1.50;;11.50;;74.00;;0.00
actimel гранат;;2.70;;1.50;;11.50;;73.00;;0.00
actimel земляника и шиповник;;2.70;;1.50;;11.50;;73.00;;0.00
actimel клубника;;2.70;;1.50;;11.50;;72.00;;0.00
actimel малина и клюква;;2.70;;1.50;;11.50;;72.00;;0.00
actimel мультифрукт;;2.70;;1.50;;12.00;;75.00;;0.00
actimel натуральный;;2.80;;1.60;;10.50;;71.00;;0.00
actimel черника и ежевика;;2.90;;1.50;;11.50;;74.00;;0.00
gallina blanca 15 овощей;;9.50;;2.50;;31.50;;187.00;;0.00
gallina blanca 15 трав и специй;;11.70;;1.70;;29.00;;178.00;;0.00
gallina blanca универсальная приправа;;7.80;;0.70;;12.80;;89.00;;0.00
kamis прованские травы;;15.50;;6.50;;20.90;;204.00;;0.00
knorr ароматная приправа для борща;;8.50;;7.00;;36.00;;241.00;;0.00
knorr ароматная приправа для мяса;;6.00;;2.00;;25.50;;144.00;;0.00
knorr ароматная приправа для рыбы;;5.50;;4.00;;59.00;;294.00;;0.00
knorr ароматная приправа классика овощей;;8.00;;1.50;;23.00;;138.00;;0.00
knorr бульон говяжий душа обеда;;6.60;;4.60;;3.90;;83.00;;0.00
knorr бульон куриный душа обеда;;6.60;;6.50;;4.60;;103.00;;0.00
knorr секрет сациви;;6.00;;6.50;;55.00;;307.00;;0.00
maggi cупер приправа весенняя зелень;;0.80;;2.60;;11.90;;75.00;;0.00
maggi говяжий бульон на косточке;;3.80;;9.80;;28.10;;218.00;;0.00
maggi зажарка из лука и моркови;;3.80;;11.50;;36.90;;267.00;;0.00
maggi зажарка со сладким перцем;;5.00;;10.70;;31.30;;242.00;;0.00
maggi заправка для кислых щей;;2.00;;2.20;;19.50;;106.00;;0.00
maggi куриный бульон;;0.30;;2.10;;9.60;;59.00;;0.00
maggi куриный бульон золотой;;0.80;;9.90;;22.70;;186.00;;0.00
maggi куриный бульон с овощами и зеленью;;1.20;;9.70;;25.50;;194.00;;0.00
maggi на второе для домашних колбасок по-баварски;;8.90;;2.70;;59.60;;306.00;;0.00
maggi на второе для запеканки из макарон с мясом по-итальянски;;5.00;;2.70;;59.00;;283.00;;0.00
maggi на второе для куриных крылышек барбекю;;4.70;;8.80;;32.80;;231.00;;0.00
maggi на второе для мясного рулета с яйцом и сыром;;7.60;;2.50;;62.40;;302.00;;0.00
maggi на второе для мясных ежиков с рисом и морковью;;4.50;;3.00;;50.30;;249.00;;0.00
maggi на второе для пельменей по-уральски, запеченных в сметане с ветчиной;;5.50;;16.20;;57.90;;402.00;;0.00
maggi на второе для сочного жаркого из курицы с овощами;;5.50;;6.30;;44.90;;259.00;;0.00
maggi на второе для сочной курицы с травами;;3.70;;1.60;;50.70;;232.00;;0.00
maggi на второе для сочных ребрышек барбекю;;5.40;;3.70;;56.60;;298.00;;0.00
maggi на второе для сочных ребрышек с дымком;;2.70;;3.20;;49.90;;239.00;;0.00
maggi на второе для хрустящих наггетсов с соусом тартар;;5.30;;4.60;;68.60;;342.00;;0.00
maggi на второе для чахохбили из курицы;;7.80;;3.40;;50.40;;264.00;;0.00
maggi приправа букет приправ для курицы;;6.20;;2.20;;23.90;;144.00;;0.00
maggi приправа дары природы;;4.70;;8.80;;32.80;;231.00;;0.00
maggi приправа сухая душистый пучок;;1.20;;5.40;;14.20;;111.00;;0.00
neo имунеле natural;;1.80;;0.90;;11.80;;63.00;;0.00
neo имунеле гранат-вишня;;2.50;;1.20;;12.40;;70.00;;0.00
neo имунеле клюква-малина;;2.50;;1.20;;12.60;;71.00;;0.00
neo имунеле лесные ягоды;;2.50;;1.20;;13.10;;73.00;;0.00
vegeta легкая;;6.00;;0.40;;26.50;;134.00;;0.00
vegeta приправа для говядины;;9.40;;1.70;;27.10;;161.00;;0.00
vegeta приправа для гриля;;9.10;;1.00;;30.80;;169.00;;0.00
